Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,208.220001,208.970001,208.139999,208.720001,180.305710,79643900
2014-12-30,208.210007,208.369995,207.509995,207.600006,179.338211,73540800
2014-12-31,207.990005,208.190002,205.389999,205.539993,177.558624,130333800
2015-01-02,206.380005,206.880005,204.179993,205.429993,177.463654,121465900
2015-01-05,204.169998,204.369995,201.350006,201.720001,174.258652,169632600
2015-01-06,202.089996,202.720001,198.860001,199.820007,172.617325,209151400
2015-01-07,201.419998,202.720001,200.880005,202.309998,174.768387,125346700
2015-01-08,204.009995,206.160004,203.990005,205.899994,177.869644,147217800
2015-01-09,206.399994,206.419998,203.509995,204.250000,176.444260,158567300
2015-01-12,204.410004,204.600006,201.919998,202.649994,175.062088,144396100
2015-01-13,204.119995,205.479996,200.509995,202.080002,174.569656,214553300
2015-01-14,199.649994,201.100006,198.570007,200.860001,173.515762,192991100
2015-01-15,201.630005,202.009995,198.880005,199.020004,171.926239,176613900
2015-01-16,198.770004,201.820007,198.550003,201.630005,174.180939,211879600
2015-01-20,202.399994,202.720001,200.169998,202.059998,174.552383,130991100
2015-01-21,201.500000,203.660004,200.940002,203.080002,175.433517,122942700
2015-01-22,203.990005,206.259995,202.330002,206.100006,178.042389,174356000
2015-01-23,205.789993,206.100006,204.809998,204.970001,177.066208,117516800
2015-01-26,204.710007,205.559998,203.850006,205.449997,177.480881,92009700
2015-01-27,202.970001,204.119995,201.740005,202.740005,175.139832,134044600
2015-01-28,204.169998,204.289993,199.910004,200.139999,172.893784,168514300
2015-01-29,200.380005,202.300003,198.679993,201.990005,174.491898,173585400
2015-01-30,200.570007,202.169998,199.130005,199.449997,172.297714,197729700
2015-02-02,200.050003,202.029999,197.860001,201.919998,174.431458,163107000
2015-02-03,203.000000,204.850006,202.550003,204.839996,176.953934,124212900
2015-02-04,203.919998,205.380005,203.509995,204.059998,176.280136,134306700
2015-02-05,204.860001,206.300003,204.770004,206.119995,178.059662,97953200
2015-02-06,206.559998,207.240005,204.919998,205.550003,177.567291,125672000
2015-02-09,204.770004,205.639999,204.139999,204.630005,176.772522,87219000
2015-02-10,205.880005,207.119995,204.679993,206.809998,178.655746,96164200
2015-02-11,206.610001,207.449997,205.830002,206.929993,178.759384,91087800
2015-02-12,207.889999,208.990005,206.970001,208.919998,180.478485,97545900
2015-02-13,209.070007,209.839996,208.759995,209.779999,181.221466,93670400
2015-02-17,209.399994,210.320007,209.100006,210.110001,181.506546,76968200
2015-02-18,209.660004,210.220001,209.339996,210.130005,181.523819,80652900
2015-02-19,209.410004,210.419998,209.240005,209.979996,181.394180,91462500
2015-02-20,209.479996,211.330002,208.729996,211.240005,182.482681,140896400
2015-02-23,210.940002,211.210007,210.479996,211.210007,182.456741,74411100
2015-02-24,211.119995,212.050003,210.759995,211.809998,182.975021,72472300
2015-02-25,211.660004,212.240005,211.220001,211.630005,182.819550,73061700
2015-02-26,211.520004,211.710007,210.649994,211.380005,182.603592,72697900
2015-02-27,211.259995,211.580002,210.600006,210.660004,181.981583,108076000
2015-03-02,210.779999,212.059998,210.720001,211.990005,183.130600,87491400
2015-03-03,211.470001,212.050003,210.080002,211.119995,182.378998,110325800
2015-03-04,210.399994,210.490005,209.059998,210.229996,181.610123,114497200
2015-03-05,210.619995,210.800003,209.850006,210.460007,181.808868,76873000
2015-03-06,209.419998,209.940002,207.100006,207.500000,179.251816,188128000
2015-03-09,207.740005,208.789993,207.550003,208.360001,179.994751,89818900
2015-03-10,206.710007,206.809998,204.929993,204.979996,177.074844,157121300
2015-03-11,205.289993,205.500000,204.399994,204.500000,176.660217,110145700
2015-03-12,205.259995,207.179993,205.199997,207.100006,178.906281,93993500
2015-03-13,206.770004,207.929993,204.580002,205.830002,177.809174,162410900
2015-03-16,206.710007,208.690002,205.860001,208.580002,180.184799,136099200
2015-03-17,207.690002,208.419998,206.979996,207.960007,179.649185,94510400
2015-03-18,207.389999,211.270004,206.619995,210.460007,181.808868,228808500
2015-03-19,209.960007,210.470001,209.029999,209.500000,180.979492,117917300
2015-03-20,209.710007,211.020004,209.490005,210.410004,182.577026,177715100
2015-03-23,210.419998,211.110001,210.000000,210.000000,182.221222,71784500
2015-03-24,209.850006,210.399994,208.740005,208.820007,181.197357,77805300
2015-03-25,209.070007,209.350006,205.710007,205.759995,178.542099,159521700
2015-03-26,204.960007,206.369995,204.119995,205.270004,178.116913,153067200
2015-03-27,205.130005,205.949997,204.899994,205.740005,178.524765,118939000
2015-03-30,206.979996,208.610001,206.960007,208.250000,180.702713,96180400
2015-03-31,207.259995,208.100006,206.360001,206.429993,179.123474,126768700
2015-04-01,206.389999,206.419998,204.509995,205.699997,178.490036,137303600
2015-04-02,205.619995,206.979996,205.399994,206.440002,179.132187,86900900
2015-04-06,205.369995,208.449997,205.210007,207.830002,180.338303,114368200
2015-04-07,207.860001,208.759995,207.240005,207.279999,179.861023,81236300
2015-04-08,207.550003,208.509995,207.080002,207.979996,180.468414,89351900
2015-04-09,207.779999,209.179993,207.190002,208.899994,181.266754,85548900
2015-04-10,209.199997,210.089996,208.960007,210.039993,182.255905,72722900
2015-04-13,209.869995,210.630005,209.029999,209.089996,181.431610,74436600
2015-04-14,208.850006,209.710007,208.100006,209.490005,181.778717,75099900
2015-04-15,210.050003,211.039993,209.949997,210.429993,182.594376,99529300
2015-04-16,210.029999,210.979996,209.789993,210.369995,182.542328,68934900
2015-04-17,208.940002,209.229996,207.009995,207.949997,180.442429,191113200
2015-04-20,209.059998,210.250000,208.960007,209.850006,182.091125,92189500
2015-04-21,210.669998,210.860001,209.240005,209.600006,181.874207,72559800
2015-04-22,210.009995,210.850006,208.899994,210.630005,182.767929,78264600
2015-04-23,210.149994,211.940002,210.009995,211.160004,183.227798,102585900
2015-04-24,211.660004,211.970001,211.110001,211.649994,183.653000,61327400
